,Date,Channel,Username,Message,Tag_owner,Cleanest_message,Scores
0,2023-01-28 21:30:56,nmplol ,wolframatic,pogu they doing something,0,PogU,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.4588}"
1,2023-01-28 21:30:56,nmplol ,kendrandi,u a bitch and she just reacts,0,bitch,"{'neg': 0.388, 'neu': 0.612, 'pos': 0.0, 'compound': -0.5859}"
2,2023-01-28 21:30:58,nmplol ,bonerboost,i love adding oil and cranking it,0,love,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.6369}"
3,2023-01-28 21:30:58,nmplol ,spritzyn,sadge,0,Sadge,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.6124}"
4,2023-01-28 21:30:58,nmplol ,destroyvader,wow,0,wow,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}"
5,2023-01-28 21:30:58,nmplol ,dreamer_235,is that a threat d,0,threat,"{'neg': 0.459, 'neu': 0.541, 'pos': 0.0, 'compound': -0.5267}"
6,2023-01-28 21:30:59,nmplol ,mxgeneration,squading hell ye,0,hell,"{'neg': 0.697, 'neu': 0.303, 'pos': 0.0, 'compound': -0.6808}"
7,2023-01-28 21:30:59,nmplol ,drealwk,lul,0,LUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.7184}"
8,2023-01-28 21:30:59,nmplol ,husalah_99,buddy smells good,0,good,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}"
9,2023-01-28 21:30:59,nmplol ,jenn_ava,omegalul,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}"
10,2023-01-28 21:31:00,nmplol ,uhhitsjacob,d: wtf,0,D: wif,"{'neg': 0.633, 'neu': 0.0, 'pos': 0.367, 'compound': -0.3818}"
11,2023-01-28 21:31:00,nmplol ,arcayda,tensions are high pepemeltdown,0,tension,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
12,2023-01-28 21:31:01,nmplol ,the_real_putinroaster,sadge buddy,0,Sadge,"{'neg': 0.8, 'neu': 0.2, 'pos': 0.0, 'compound': -0.6124}"
13,2023-01-28 21:31:02,nmplol ,akiva51,all he can do is shit on ppl,0,shit,"{'neg': 0.34, 'neu': 0.66, 'pos': 0.0, 'compound': -0.5574}"
14,2023-01-28 21:31:02,nmplol ,kieranp_246,it’s crazy to find 3 people where erobb is the most competent lul,0,LUL,"{'neg': 0.118, 'neu': 0.493, 'pos': 0.388, 'compound': 0.7559}"
15,2023-01-28 21:31:02,nmplol ,resubscribe,feelsbadman buddy,0,feelsbadman,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
16,2023-01-28 21:31:03,nmplol ,charmiee,d:,0,D:,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}"
17,2023-01-28 21:31:04,nmplol ,yoourself,monkas,0,monkaS,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.6124}"
18,2023-01-28 21:31:04,nmplol ,5triker_,nick do something man stop just standing there,0,stop,"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.296}"
19,2023-01-28 21:31:08,nmplol ,rhoetuz,sadge mean,0,Sadge,"{'neg': 0.8, 'neu': 0.2, 'pos': 0.0, 'compound': -0.6124}"
20,2023-01-28 21:31:08,nmplol ,l0ddz,sez u lulw,0,LULW,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.4588}"
21,2023-01-28 21:31:08,nmplol ,lor186,that is true,0,true,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4215}"
