,Date,Channel,Username,Message,Tag_owner,Cleanest_message,Scores
0,2023-01-28 23:54:35,denims ,yossaarian,its fair too many pos that are named slick slicker,0,fair po slicker,"{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.4019}"
1,2023-01-28 23:54:35,denims ,lilijil,@jamesdm i'm not debating anything loudly_crying_face i just @ a chatter who said something i seen a lotta other fragile losers say but my bad i thought you was being a centrist on the topic,0,loser bad,"{'neg': 0.174, 'neu': 0.826, 'pos': 0.0, 'compound': -0.7876}"
2,2023-01-28 23:54:35,denims ,rydahryot,imagine getting owned this hard by a nerd,0,hard nerd,"{'neg': 0.381, 'neu': 0.619, 'pos': 0.0, 'compound': -0.4019}"
3,2023-01-28 23:54:35,denims ,seit0,that trial really broke so many people,0,broke,"{'neg': 0.34, 'neu': 0.66, 'pos': 0.0, 'compound': -0.4754}"
4,2023-01-28 23:54:35,denims ,grzlyp1,asmongold a bitch tho on god,0,bitch god,"{'neg': 0.384, 'neu': 0.404, 'pos': 0.212, 'compound': -0.4019}"
5,2023-01-28 23:54:35,denims ,rydahryot,get fucked slick,0,fuck,"{'neg': 0.688, 'neu': 0.312, 'pos': 0.0, 'compound': -0.6597}"
6,2023-01-28 23:54:35,denims ,dansoddity,omegalul,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}"
7,2023-01-28 23:54:35,denims ,diedrei,good sentiment but still batchest johnny depp,0,good,"{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.2382}"
8,2023-01-28 23:54:37,denims ,typhoonbh,@nextlifeafter widepeeposad true,0,true,"{'neg': 0.345, 'neu': 0.172, 'pos': 0.483, 'compound': 0.2023}"
9,2023-01-28 23:54:38,denims ,chrig666,bro who is he talking to lmfao,0,lao,"{'neg': 0.0, 'neu': 0.632, 'pos': 0.368, 'compound': 0.5423}"
10,2023-01-28 23:54:38,denims ,carlosss_estevez,crazy slicker,0,slicker,"{'neg': 0.632, 'neu': 0.0, 'pos': 0.368, 'compound': -0.25}"
11,2023-01-28 23:54:38,denims ,definitelynotdusto,omegalul,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}"
12,2023-01-28 23:54:39,denims ,juxsdo,he get banned for that?,0,ban,"{'neg': 0.429, 'neu': 0.571, 'pos': 0.0, 'compound': -0.4588}"
13,2023-01-28 23:54:43,denims ,nemonal,br omegalul,0,OMEGALUL,"{'neg': 0.0, 'neu': 0.25, 'pos': 0.75, 'compound': 0.4588}"
14,2023-01-28 23:54:43,denims ,selenemalis,asmon is such a bitch baby,0,bitch,"{'neg': 0.432, 'neu': 0.568, 'pos': 0.0, 'compound': -0.5859}"
15,2023-01-28 23:54:49,denims ,veggietableh,"@navak4seven what is institutional about one dumb fuck going around insulting white people? nothing. that's the point, white supremacy has the power of the institutions that this country is founded upon",0,dumb fuck insult ha,"{'neg': 0.262, 'neu': 0.707, 'pos': 0.031, 'compound': -0.8689}"
16,2023-01-28 23:54:51,denims ,d00dlebirb,he didn't get banned for this chat,0,ban,"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.357}"
17,2023-01-28 23:54:51,denims ,fusion_x,"@juxsdo actually no, he completely avoided a ban for that",0,avoid ban,"{'neg': 0.45, 'neu': 0.55, 'pos': 0.0, 'compound': -0.762}"
18,2023-01-28 23:54:51,denims ,starbuckswitch,haschud punishment,0,punish,"{'neg': 0.762, 'neu': 0.238, 'pos': 0.0, 'compound': -0.4939}"
19,2023-01-28 23:54:53,denims ,fireflowergoddess,wow i never saw that clip,0,wow,"{'neg': 0.0, 'neu': 0.568, 'pos': 0.432, 'compound': 0.5859}"
20,2023-01-28 23:54:54,denims ,satchmobronson,"@archreaper7 i have no idea who bruce is, this clip is the first i've seen of him. i'm not a ""bruce fan"" i just know that the c-word isn't racist and only morons think that it is",0,racist moron,"{'neg': 0.151, 'neu': 0.773, 'pos': 0.075, 'compound': -0.3054}"
21,2023-01-28 23:54:55,denims ,amhowell,"@archreaper7 the thing on monday involved slave catchers, minimizing the harm that could happen is pro slavery behavior. every race has people that support slavery, but reactionary white people claim only they are allowed to. stop erasing the non white c words",0,harm ha support allow stop,"{'neg': 0.218, 'neu': 0.744, 'pos': 0.037, 'compound': -0.8402}"
22,2023-01-28 23:54:57,denims ,piouslambda,"phew, saved it",0,save,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4215}"
23,2023-01-28 23:54:57,denims ,pkpokeman,he didnt get banned which is a clear double standard regardless of context,0,ban clear,"{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.6224}"
24,2023-01-28 23:54:58,denims ,overshotlyric,@juxsdo no he did not get banned,0,ban,"{'neg': 0.227, 'neu': 0.517, 'pos': 0.256, 'compound': 0.0721}"
25,2023-01-28 23:55:00,denims ,jackburtonbt,"@archreaper7 again, no systemic oppression backing the words only means ""mean words hurt my white ass fealings""",0,hurt ass,"{'neg': 0.392, 'neu': 0.56, 'pos': 0.047, 'compound': -0.8402}"
26,2023-01-28 23:55:02,denims ,maikonix,like straight up to the point xd,0,like straight ad,"{'neg': 0.0, 'neu': 0.328, 'pos': 0.672, 'compound': 0.802}"
27,2023-01-28 23:55:03,denims ,beantransfer,"asmon is god to the neckbeards, hes safe",0,god safe,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.6124}"
28,2023-01-28 23:55:06,denims ,jawnbedge,@navak4seven i hope you asmond gold yourself,0,hope,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}"
29,2023-01-28 23:55:07,denims ,lockmeowt,"excuse me, hile i kiss this guy",0,kiss,"{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.4767}"
30,2023-01-28 23:55:12,denims ,veggietableh,@navak4seven either respond to me or just admit you're dumber than dirt omegadance,0,admit dumber dirt,"{'neg': 0.293, 'neu': 0.599, 'pos': 0.108, 'compound': -0.4767}"
31,2023-01-28 23:55:13,denims ,jamesdm,"@lilijil, kekw no, i was just trying to preemptively stop the convo because if you look in chat it's going exactly how it always goes omegadance",0,stop,"{'neg': 0.071, 'neu': 0.769, 'pos': 0.16, 'compound': 0.5859}"
32,2023-01-28 23:55:14,denims ,domiinicus,only asmond coded peeps get to say it not bruce xd,0,ad,"{'neg': 0.235, 'neu': 0.765, 'pos': 0.0, 'compound': -0.4717}"
33,2023-01-28 23:55:22,denims ,warnikorn,thats what playing wow for a long time does to you,0,play wow,"{'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.6808}"
34,2023-01-28 23:55:22,denims ,obrigaah,@navak4seven omegadance omegadance omegadance nooooo you are so stupid kekl,0,stupid,"{'neg': 0.327, 'neu': 0.673, 'pos': 0.0, 'compound': -0.656}"
35,2023-01-28 23:55:22,denims ,starsyth,"guess twitch draws the line between ""hoping"" someone dies and ""telling"" someone to die",0,die,"{'neg': 0.209, 'neu': 0.642, 'pos': 0.15, 'compound': -0.2732}"
36,2023-01-28 23:55:27,denims ,grzlyp1,free deo free deo free deo free deo free deo free deo free deo free deo free deo free deo free deo,0,free,"{'neg': 0.0, 'neu': 0.233, 'pos': 0.767, 'compound': 0.9885}"
37,2023-01-28 23:55:33,denims ,archreaper7,@jackburtonbt your argument is wrong and ignorant and i'm not going to bother trying to enlighten you on that one,0,argument wrong bother enlighten,"{'neg': 0.275, 'neu': 0.535, 'pos': 0.19, 'compound': -0.3322}"
38,2023-01-28 23:55:36,denims ,d00dlebirb,free bdeodeo,0,free,"{'neg': 0.0, 'neu': 0.233, 'pos': 0.767, 'compound': 0.5106}"
39,2023-01-28 23:55:37,denims ,pkpokeman,given his size i am sure he will get unbanned tbh,0,sure,"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.3182}"
40,2023-01-28 23:55:37,denims ,starywars,isn't every twitch ban start indefinite?,0,ban,"{'neg': 0.0, 'neu': 0.631, 'pos': 0.369, 'compound': 0.4449}"
41,2023-01-28 23:55:38,denims ,navak4seven,banning ppl with differing opinions is cringe,0,ban,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
